province,region,rank_total,province_total_million,province_items,agencies,category,category_budget_million,category_items,percent,rank_category_share
นครปฐม,ภาคกลาง,19,8060.8343,859,64,น้ำ ชลประทาน ประปา และระบายน้ำ,1176.9682,41,14.601072,48
นครปฐม,ภาคกลาง,19,8060.8343,859,64,จัดซื้อครุภัณฑ์ ยานพาหนะ และทรัพย์สิน,604.0088,119,7.493130,6
นครปฐม,ภาคกลาง,19,8060.8343,859,64,ปรับปรุงและซ่อมแซมทรัพย์สินเดิม,631.6548,29,7.836097,10
นครปฐม,ภาคกลาง,19,8060.8343,859,64,อาคารและสิ่งก่อสร้างอื่น,1312.7889,98,16.286018,15
นครปฐม,ภาคกลาง,19,8060.8343,859,64,อาหารและโภชนาการ,209.0739,88,2.593701,44
นครปฐม,ภาคกลาง,19,8060.8343,859,64,กิจกรรม อบรม และบริหารจัดการ,293.2014,59,3.637358,35
นครปฐม,ภาคกลาง,19,8060.8343,859,64,จ้างเหมาและบริการ,803.5803,192,9.968947,1
ระยอง,ภาคตะวันออก,20,7563.6175,674,61,ถนน สะพาน และทางสัญจร,2846.3240,54,37.631781,13
ระยอง,ภาคตะวันออก,20,7563.6175,674,61,บุคลากร สวัสดิการ และเงินอุดหนุน,1219.0728,202,16.117589,60
ระยอง,ภาคตะวันออก,20,7563.6175,674,61,น้ำ ชลประทาน ประปา และระบายน้ำ,1428.1164,23,18.881394,35
ระยอง,ภาคตะวันออก,20,7563.6175,674,61,จัดซื้อครุภัณฑ์ ยานพาหนะ และทรัพย์สิน,161.4201,59,2.134165,51
ระยอง,ภาคตะวันออก,20,7563.6175,674,61,ปรับปรุงและซ่อมแซมทรัพย์สินเดิม,430.1516,25,5.687115,16
ระยอง,ภาคตะวันออก,20,7563.6175,674,61,อาคารและสิ่งก่อสร้างอื่น,494.7788,68,6.541563,74
ระยอง,ภาคตะวันออก,20,7563.6175,674,61,อาหารและโภชนาการ,256.1943,92,3.387193,18
ระยอง,ภาคตะวันออก,20,7563.6175,674,61,กิจกรรม อบรม และบริหารจัดการ,505.0348,39,6.677159,9
ระยอง,ภาคตะวันออก,20,7563.6175,674,61,จ้างเหมาและบริการ,222.5247,112,2.942041,23
ลำปาง,ภาคเหนือ,21,7490.4735,1075,77,ถนน สะพาน และทางสัญจร,2374.3343,88,31.698054,26
ลำปาง,ภาคเหนือ,21,7490.4735,1075,77,บุคลากร สวัสดิการ และเงินอุดหนุน,2162.8312,350,28.874426,20
ลำปาง,ภาคเหนือ,21,7490.4735,1075,77,น้ำ ชลประทาน ประปา และระบายน้ำ,974.3480,47,13.007829,57
ลำปาง,ภาคเหนือ,21,7490.4735,1075,77,จัดซื้อครุภัณฑ์ ยานพาหนะ และทรัพย์สิน,146.1065,115,1.950564,55
ลำปาง,ภาคเหนือ,21,7490.4735,1075,77,ปรับปรุงและซ่อมแซมทรัพย์สินเดิม,146.7250,15,1.958821,61
ลำปาง,ภาคเหนือ,21,7490.4735,1075,77,อาคารและสิ่งก่อสร้างอื่น,1198.9730,67,16.006638,16
ลำปาง,ภาคเหนือ,21,7490.4735,1075,77,อาหารและโภชนาการ,167.1581,160,2.231609,54
ลำปาง,ภาคเหนือ,21,7490.4735,1075,77,กิจกรรม อบรม และบริหารจัดการ,244.8043,52,3.268209,38
